Name,Year Published,Users Rated,Owned Users,Complexity Average,Mechanics
Tunisia,1995.0,384,1063.0,4.07,"Dice Rolling, Hexagon Grid, Simulation"
Das Motorsportspiel,1995.0,374,490.0,2.0,"Roll / Spin and Move, Simulation"
Stonewall in the Valley,1995.0,307,1074.0,3.41,"Dice Rolling, Hexagon Grid"
Mystery of the Abbey,1995.0,7673,9388.0,2.2,"Area Movement, Dice Rolling, Events, Hand Management, Paper-and-Pencil, Set Collection"
Sherlock Holmes: West End Adventures,1995.0,78,309.0,3.1,"Cooperative Game, Storytelling"
Empire of the Rising Sun,1995.0,211,715.0,4.33,"Dice Rolling, Grid Movement, Hexagon Grid, Point to Point Movement, Scenario / Mission / Campaign Game, Simulation, Tech Trees / Tech Tracks"
Marengo,1995.0,124,562.0,3.47,"Hexagon Grid, Line of Sight"
BrikWars,1995.0,53,87.0,2.69,Dice Rolling
Junior Labyrinth,1995.0,591,1388.0,1.2,"Modular Board, Network and Route Building, Pattern Building, Pattern Recognition"
Sixteen Thirty Something,1995.0,110,250.0,2.5,"Secret Unit Deployment, Set Collection, Variable Player Powers"
Speed,1995.0,96,303.0,1.0,"Hand Management, Pattern Recognition"
The Three Days Of Gettysburg,1995.0,49,289.0,4.17,"Dice Rolling, Grid Movement, Hexagon Grid, Simulation"
Piquet: Master Rules for Wargaming,1995.0,47,107.0,3.0,"Action Points, Dice Rolling"
Keywood,1995.0,54,81.0,2.0,Voting
Cluedo Super Sleuth,1995.0,264,550.0,2.18,"Modular Board, Roll / Spin and Move"
Shako: Rules and Army Lists for Napoleonic Wargaming,1995.0,46,104.0,3.17,"Dice Rolling, Measurement Movement, Simulation"
Germania,1995.0,64,377.0,2.91,Hexagon Grid
Elfenwizards,1995.0,107,265.0,2.3,Dice Rolling
Rok 1920,1995.0,47,68.0,3.73,Hexagon Grid
Creeper,1995.0,56,149.0,2.0,Pattern Building
Piercing the Reich,1995.0,48,218.0,3.88,"Dice Rolling, Hexagon Grid"
Tahiti,1995.0,60,122.0,2.17,Auction/Bidding
Autumn of Glory,1995.0,53,312.0,2.88,Area Movement
Kunst Stücke,1995.0,172,208.0,2.38,"Grid Movement, Hand Management, Tile Placement"
Battles of the Ancient World Volume II,1995.0,60,173.0,1.79,"Dice Rolling, Hexagon Grid"
Wrott & Swindlers,1995.0,52,63.0,1.8,Auction/Bidding
Redemption,1995.0,262,474.0,2.61,Hand Management
Mason-Dixon: The Second American Civil War,1995.0,62,376.0,3.18,Hexagon Grid
Anno Domini,1995.0,145,299.0,1.8,"Area Movement, Dice Rolling"
Austerlitz 1805: Le choc des cavaleries,1995.0,31,170.0,2.83,Hexagon Grid
Tunisie 1943,1995.0,38,166.0,2.44,"Dice Rolling, Grid Movement, Hexagon Grid, Simulation"
Aztec,1995.0,66,117.0,2.2,
The Legend of Landlock,1995.0,411,729.0,1.24,Tile Placement
Flintloque,1995.0,45,81.0,2.44,Variable Phase Order
